Time - Pre2	TTL signal - Pre2	Time - Pre	TTL signal - Pre	
1.37031	-10.8897	1.79063	20.1226	
1.37188	14.9192	1.79219	18.6657	
1.37344	-15.2605	1.79375	15.5436	
1.375	-17.7582	1.79531	28.0318	
1.37656	-10.0571	1.79688	-3.18865	
1.37813	-10.8897	1.79844	2.63917	
1.37969	-5.68628	1.8	31.362	
1.38125	7.01003	1.80156	9.50766	
1.38281	-5.27001	1.80313	15.3355	
1.38438	-3.39678	1.80469	8.67512	
1.38594	14.5029	1.80625	22.6202	
1.3875	-7.76764	1.80781	37.3979	
1.38906	-12.9711	1.80938	7.4263	
1.39063	3.67985	1.81094	12.2134	
1.39219	-4.85374	1.8125	17.625	
1.39375	-17.3419	1.81406	33.6515	
1.39531	-19.2151	1.81563	9.92394	
1.39688	3.05544	1.81719	28.2399	
1.39844	-2.3561	1.81875	41.9769	
1.4	-7.14324	1.82031	13.8785	
1.40156	4.92867	1.82188	31.5701	
1.40313	-7.35137	1.82344	44.2664	
1.40469	13.046	1.825	5.1368	
1.40625	-12.7629	1.82656	29.0725	
1.40781	3.26358	1.82813	6.80189	
1.40938	7.21816	1.82969	33.4433	
1.41094	28.8643	1.83125	28.8643	
1.4125	3.26358	1.83281	40.9362	
1.41406	-17.7582	1.83438	18.8738	
1.41563	12.6297	1.83594	56.1302	
1.41719	0.765941	1.8375	24.0772	
1.41875	16.3762	1.83906	38.6467	
1.42031	23.8691	1.84063	-0.691012	
1.42188	9.7158	1.84219	10.7565	
1.42344	39.4793	1.84375	19.9145	
1.425	-5.47815	1.84531	17.625	
1.42656	2.43103	1.84688	19.9145	
1.42813	36.5654	1.84844	1.39035	
1.42969	-15.885	1.85	-1.10728	
1.43125	15.5436	1.85156	22.6202	
1.43281	4.72053	1.85313	35.3166	
1.43438	10.5483	1.85469	17.8331	
1.43594	-16.7175	1.85625	37.8142	
1.4375	9.09139	1.85781	31.7782	
1.43906	21.7877	1.85938	22.6202	
1.44063	18.0412	1.86094	32.8189	
1.44219	4.30426	1.8625	0.765941	
1.44375	8.25885	1.86406	42.3932	
1.44531	23.8691	1.86563	24.2853	
1.44688	35.941	1.86719	47.3885	
1.44844	19.4982	1.86875	42.1851	
1.45	25.7423	1.87031	24.0772	
1.45156	-9.01646	1.87188	60.2929	
1.45313	13.8785	1.87344	41.1444	
1.45469	10.9646	1.875	64.0394	
1.45625	-8.80833	1.87656	60.7092	
1.45781	39.6874	1.87813	28.2399	
1.45938	-21.5046	1.87969	29.4887	
1.46094	24.7016	1.88125	43.642	
1.4625	8.67512	1.88281	35.5247	
1.46406	10.5483	1.88438	22.4121	
1.46563	-12.5548	1.88594	36.3572	
1.46719	-14.428	1.8875	69.0346	
1.46875	16.3762	1.88906	39.4793	
1.47031	-19.2151	1.89063	24.7016	
1.47188	10.1321	1.89219	30.1132	
1.47344	-13.3873	1.89375	19.7063	
1.475	-1.73169	1.89531	42.3932	
1.47656	5.34494	1.89688	21.3714	
1.47813	14.0867	1.89844	20.3307	
1.47969	12.8378	1.9	25.5342	
1.48125	20.747	1.90156	22.8284	
1.48281	18.8738	1.90313	23.4528	
1.48438	21.7877	1.90469	46.3478	
1.48594	-43.3589	1.90625	28.8643	
1.4875	13.6704	1.90781	36.9816	
1.48906	4.72053	1.90938	35.5247	
1.49063	-0.482876	1.91094	28.4481	
1.49219	5.96935	1.9125	29.4887	
1.49375	23.0365	1.91406	23.4528	
1.49531	-0.899149	1.91563	29.905	
1.49688	1.59849	1.91719	30.9457	
1.49844	-16.7175	1.91875	23.6609	
1.5	-3.60492	1.92031	11.1728	
1.50156	-17.3419	1.92188	2.8473	
1.50313	-31.7033	1.92344	20.747	
1.50469	5.1368	1.925	9.92394	
1.50625	29.4887	1.92656	43.4339	
1.50781	12.2134	1.92813	30.5294	
1.50938	3.88798	1.92969	48.0129	
1.51094	-9.2246	1.93125	32.8189	
1.5125	-19.4233	1.93281	31.362	
1.51406	-14.2199	1.93438	35.1084	
1.51563	7.63444	1.93594	6.38562	
1.51719	-0.0666036	1.9375	9.7158	
1.51875	12.0053	1.93906	40.1037	
1.52031	-1.73169	1.94063	15.3355	
1.52188	7.21816	1.94219	23.0365	
1.52344	18.2494	1.94375	28.4481	
1.525	-5.47815	1.94531	34.2759	
1.52656	-10.0571	1.94688	29.4887	
1.52813	10.7565	1.94844	29.2806	
1.52969	8.88325	1.95	9.7158	
1.53125	4.92867	1.95156	18.6657	
1.53281	8.88325	1.95313	-2.3561	
1.53438	5.55307	1.95469	24.0772	
1.53594	-13.1792	1.95625	12.8378	
1.5375	-2.77237	1.95781	18.8738	
1.53906	2.8473	1.95938	21.7877	
1.54063	6.38562	1.96094	27.8237	
1.54219	-13.1792	1.9625	37.1898	
1.54375	-0.691012	1.96406	20.1226	
1.54531	0.765941	1.96563	37.3979	
1.54688	11.7972	1.96719	23.2447	
1.54844	3.88798	1.96875	10.5483	
1.55	-1.73169	1.97031	20.747	
1.55156	-20.8802	1.97188	27.4074	
1.55313	-33.1603	1.97344	52.3837	
1.55469	29.2806	1.975	19.0819	
1.55625	-3.39678	1.97656	31.1538	
1.55781	28.4481	1.97813	42.6013	
1.55938	-14.2199	1.97969	50.3024	
1.56094	3.67985	1.98125	28.6562	
1.5625	-3.81306	1.98281	22.8284	
1.56406	-10.6816	1.98438	32.6108	
1.56563	-2.98051	1.98594	26.783	
1.56719	-10.2653	1.9875	33.4433	
1.56875	-4.43746	1.98906	18.6657	
1.57031	-8.18392	1.99063	32.1945	
1.57188	4.09612	1.99219	19.0819	
1.57344	5.34494	1.99375	17.0006	
1.575	-15.0524	1.99531	53.8407	
1.57656	-4.6456	1.99688	42.6013	
1.57813	-9.84901	1.99844	42.1851	
1.57969	-8.60019	2	48.8454	
1.58125	-20.464	2.00156	25.9504	
1.58281	-2.77237	2.00313	22.204	
